semantic_id	category	english_path	japanese_path
rm2000-0001	Backdrop	Backdrop/Dungeon1.png	Backdrop/ダンジョン1.png
rm2000-0002	Backdrop	Backdrop/Dungeon2.png	Backdrop/ダンジョン2.png
rm2000-0003	Backdrop	Backdrop/Dungeon3.png	Backdrop/ダンジョン3.png
rm2000-0004	Backdrop	Backdrop/Dungeon4.png	Backdrop/ダンジョン4.png
rm2000-0005	Backdrop	Backdrop/Dungeon5.png	Backdrop/ダンジョン5.png
rm2000-0006	Backdrop	Backdrop/Space.png	Backdrop/宇宙.png
rm2000-0007	Backdrop	Backdrop/MountainPath.png	Backdrop/山道.png
rm2000-0008	Backdrop	Backdrop/RockyArea.png	Backdrop/岩場.png
rm2000-0009	Backdrop	Backdrop/Ruins.png	Backdrop/廃墟.png
rm2000-0010	Backdrop	Backdrop/Forest1.png	Backdrop/森1.png
rm2000-0011	Backdrop	Backdrop/Forest2.png	Backdrop/森2.png
rm2000-0012	Backdrop	Backdrop/Bridge.png	Backdrop/橋.png
rm2000-0013	Backdrop	Backdrop/PoisonSwamp.png	Backdrop/毒沼.png
rm2000-0014	Backdrop	Backdrop/Sea.png	Backdrop/海.png
rm2000-0015	Backdrop	Backdrop/Throne.png	Backdrop/玉座.png
rm2000-0016	Backdrop	Backdrop/StrangeSpace.png	Backdrop/異空間.png
rm2000-0017	Backdrop	Backdrop/SandyBeach.png	Backdrop/砂浜.png
rm2000-0018	Backdrop	Backdrop/Desert.png	Backdrop/砂漠.png
rm2000-0019	Backdrop	Backdrop/Shrine.png	Backdrop/神殿.png
rm2000-0020	Backdrop	Backdrop/Sky.png	Backdrop/空.png
rm2000-0021	Backdrop	Backdrop/ShipDeck.png	Backdrop/船上.png
rm2000-0022	Backdrop	Backdrop/Grassland.png	Backdrop/草原.png
rm2000-0023	Backdrop	Backdrop/Wasteland.png	Backdrop/荒地.png
rm2000-0024	Backdrop	Backdrop/Downtown.png	Backdrop/街中.png
rm2000-0025	Backdrop	Backdrop/Snowfield.png	Backdrop/雪原.png
rm2000-0026	Battle	Battle/Other.png	Battle/その他.png
rm2000-0027	Battle	Battle/Barrier.png	Battle/バリア.png
rm2000-0028	Battle	Battle/Breath.png	Battle/ブレス.png
rm2000-0029	Battle	Battle/Buff.png	Battle/上昇.png
rm2000-0030	Battle	Battle/Debuff.png	Battle/下降.png
rm2000-0031	Battle	Battle/Ice.png	Battle/冷気.png
rm2000-0032	Battle	Battle/Sword1.png	Battle/剣1.png
rm2000-0033	Battle	Battle/Sword2.png	Battle/剣2.png
rm2000-0034	Battle	Battle/Bite.png	Battle/吸収.png
rm2000-0035	Battle	Battle/Recovery.png	Battle/回復.png
rm2000-0036	Battle	Battle/Earth.png	Battle/大地.png
rm2000-0037	Battle	Battle/Blow.png	Battle/打撃.png
rm2000-0038	Battle	Battle/Axe.png	Battle/斧.png
rm2000-0039	Battle	Battle/Dark.png	Battle/暗黒.png
rm2000-0040	Battle	Battle/Spear.png	Battle/槍.png
rm2000-0041	Battle	Battle/Water.png	Battle/水.png
rm2000-0042	Battle	Battle/Treatment.png	Battle/治療.png
rm2000-0043	Battle	Battle/Fire1.png	Battle/炎1.png
rm2000-0044	Battle	Battle/Fire2.png	Battle/炎2.png
rm2000-0045	Battle	Battle/Explosion.png	Battle/爆発.png
rm2000-0046	Battle	Battle/Claw.png	Battle/爪.png
rm2000-0047	Battle	Battle/Arrow.png	Battle/矢.png
rm2000-0048	Battle	Battle/Holy.png	Battle/神聖.png
rm2000-0049	Battle	Battle/Ressurection.png	Battle/蘇生.png
rm2000-0050	Battle	Battle/Thunder.png	Battle/雷.png
rm2000-0051	Battle	Battle/Whip.png	Battle/鞭.png
rm2000-0052	Battle	Battle/Wind.png	Battle/風.png
rm2000-0053	Battle	Battle/Paralysis.png	Battle/麻痺.png
rm2000-0054	CharSet	CharSet/Object1.png	CharSet/オブジェクト1.png
rm2000-0055	CharSet	CharSet/Object2.png	CharSet/オブジェクト2.png
rm2000-0056	CharSet	CharSet/Monster1.png	CharSet/モンスター1.png
rm2000-0057	CharSet	CharSet/Monster2.png	CharSet/モンスター2.png
rm2000-0058	CharSet	CharSet/People1.png	CharSet/一般1.png
rm2000-0059	CharSet	CharSet/People2.png	CharSet/一般2.png
rm2000-0060	CharSet	CharSet/People3.png	CharSet/一般3.png
rm2000-0061	CharSet	CharSet/People4.png	CharSet/一般4.png
rm2000-0062	CharSet	CharSet/People5.png	CharSet/一般5.png
rm2000-0063	CharSet	CharSet/Actor1.png	CharSet/主人公1.png
rm2000-0064	CharSet	CharSet/Actor2.png	CharSet/主人公2.png
rm2000-0065	CharSet	CharSet/Actor3.png	CharSet/主人公3.png
rm2000-0066	CharSet	CharSet/Actor4.png	CharSet/主人公4.png
rm2000-0067	CharSet	CharSet/Vehicles.png	CharSet/乗り物.png
rm2000-0068	CharSet	CharSet/Animal.png	CharSet/動物.png
rm2000-0069	ChipSet	ChipSet/Dungeon.png	ChipSet/ダンジョン.png
rm2000-0070	ChipSet	ChipSet/Interior.png	ChipSet/内装.png
rm2000-0071	ChipSet	ChipSet/World.png	ChipSet/基本.png
rm2000-0072	ChipSet	ChipSet/Exterior.png	ChipSet/外観.png
rm2000-0073	ChipSet	ChipSet/Ship.png	ChipSet/船.png
rm2000-0074	FaceSet	FaceSet/Monster.png	FaceSet/モンスター.png
rm2000-0075	FaceSet	FaceSet/People1.png	FaceSet/一般1.png
rm2000-0076	FaceSet	FaceSet/People2.png	FaceSet/一般2.png
rm2000-0077	FaceSet	FaceSet/Actor1.png	FaceSet/主人公1.png
rm2000-0078	FaceSet	FaceSet/Actor2.png	FaceSet/主人公2.png
rm2000-0079	GameOver	GameOver/Game Over.png	GameOver/ゲームオーバー.png
rm2000-0080	Monster	Monster/Vampire.png	Monster/ヴァンパイア.png
rm2000-0081	Monster	Monster/Orc.png	Monster/オーク.png
rm2000-0082	Monster	Monster/Gargoyle.png	Monster/ガーゴイル.png
rm2000-0083	Monster	Monster/Chimera.png	Monster/キマイラ.png
rm2000-0084	Monster	Monster/Kraken.png	Monster/クラーケン.png
rm2000-0085	Monster	Monster/Griffon.png	Monster/グリフォン.png
rm2000-0086	Monster	Monster/Cerberus.png	Monster/ケルベロス.png
rm2000-0087	Monster	Monster/Bat.png	Monster/こうもり.png
rm2000-0088	Monster	Monster/Ghost.png	Monster/ゴースト.png
rm2000-0089	Monster	Monster/Golem.png	Monster/ゴーレム.png
rm2000-0090	Monster	Monster/Cockatorice.png	Monster/コカトリス.png
rm2000-0091	Monster	Monster/Goblin.png	Monster/ゴブリン.png
rm2000-0092	Monster	Monster/Kobold.png	Monster/コボルト.png
rm2000-0093	Monster	Monster/Skeleton.png	Monster/スケルトン.png
rm2000-0094	Monster	Monster/Slime.png	Monster/スライム.png
rm2000-0095	Monster	Monster/Zombie.png	Monster/ゾンビ.png
rm2000-0096	Monster	Monster/Dark Elf.png	Monster/ダークエルフ.png
rm2000-0097	Monster	Monster/Demon.png	Monster/デーモン.png
rm2000-0098	Monster	Monster/DragonA.png	Monster/ドラゴン.png
rm2000-0099	Monster	Monster/Dragon Knight.png	Monster/ドラゴンナイト.png
rm2000-0100	Monster	Monster/Knight.png	Monster/トルーパー.png
rm2000-0101	Monster	Monster/Treant.png	Monster/トレント.png
rm2000-0102	Monster	Monster/Harpy.png	Monster/ハーピー.png
rm2000-0103	Monster	Monster/Hydra.png	Monster/ヒュドラ.png
rm2000-0104	Monster	Monster/Black Knight.png	Monster/ブラックナイト.png
rm2000-0105	Monster	Monster/Hornet.png	Monster/ホーネット.png
rm2000-0106	Monster	Monster/Merman.png	Monster/マーマン.png
rm2000-0107	Monster	Monster/Mummy.png	Monster/マミー.png
rm2000-0108	Monster	Monster/Minotaur.png	Monster/ミノタウロス.png
rm2000-0109	Monster	Monster/Mimic.png	Monster/ミミック.png
rm2000-0110	Monster	Monster/Medusa.png	Monster/メデューサ.png
rm2000-0111	Monster	Monster/Lizardman.png	Monster/リザードマン.png
rm2000-0112	Monster	Monster/Lich.png	Monster/リッチ.png
rm2000-0113	Monster	Monster/Werewolf.png	Monster/ワーウルフ.png
rm2000-0114	Monster	Monster/Wyvern.png	Monster/ワイバーン.png
