semantic_id	category	english_path	japanese_path	traditional_chinese_path
rm2003-0001	Backdrop	Backdrop/Graveyard.png	Backdrop/お墓.png	Backdrop/墳場.png
rm2003-0002	Backdrop	Backdrop/Temple1.png	Backdrop/お寺.png	Backdrop/寺廟.png
rm2003-0003	Backdrop	Backdrop/Dungeon1.png	Backdrop/ダンジョン１.png	Backdrop/迷宮1.png
rm2003-0004	Backdrop	Backdrop/Dungeon2.png	Backdrop/ダンジョン２.png	Backdrop/迷宮2.png
rm2003-0005	Backdrop	Backdrop/Dungeon3.png	Backdrop/ダンジョン３.png	Backdrop/迷宮3.png
rm2003-0006	Backdrop	Backdrop/Dungeon4.png	Backdrop/ダンジョン４.png	Backdrop/迷宮4.png
rm2003-0007	Backdrop	Backdrop/Dungeon5.png	Backdrop/ダンジョン５.png	Backdrop/迷宮5.png
rm2003-0008	Backdrop	Backdrop/Dungeon6.png	Backdrop/ダンジョン６.png	Backdrop/迷宮6.png
rm2003-0009	Backdrop	Backdrop/Universe.png	Backdrop/宇宙.png	Backdrop/宇宙.png
rm2003-0010	Backdrop	Backdrop/Mountain Road.png	Backdrop/山道.png	Backdrop/山路.png
rm2003-0011	Backdrop	Backdrop/Rocky Road.png	Backdrop/岩場.png	Backdrop/岩壁.png
rm2003-0012	Backdrop	Backdrop/Ruins1.png	Backdrop/廃墟.png	Backdrop/廢墟.png
rm2003-0013	Backdrop	Backdrop/Old Town.png	Backdrop/旧市街.png	Backdrop/老街.png
rm2003-0014	Backdrop	Backdrop/Forest1.png	Backdrop/森１.png	Backdrop/森林1.png
rm2003-0015	Backdrop	Backdrop/Forest2.png	Backdrop/森２.png	Backdrop/森林2.png
rm2003-0016	Backdrop	Backdrop/Bridge.png	Backdrop/橋.png	Backdrop/橋.png
rm2003-0017	Backdrop	Backdrop/Swamp.png	Backdrop/毒沼.png	Backdrop/毒沼.png
rm2003-0018	Backdrop	Backdrop/Mansion.png	Backdrop/洋館.png	Backdrop/洋館.png
rm2003-0019	Backdrop	Backdrop/Sea.png	Backdrop/海.png	Backdrop/海.png
rm2003-0020	Backdrop	Backdrop/Castle.png	Backdrop/玉座.png	Backdrop/王位.png
rm2003-0021	Backdrop	Backdrop/Space.png	Backdrop/異空間.png	Backdrop/異次元空間.png
rm2003-0022	Backdrop	Backdrop/Beach.png	Backdrop/砂浜.png	Backdrop/淺灘.png
rm2003-0023	Backdrop	Backdrop/Desert.png	Backdrop/砂漠.png	Backdrop/沙漠.png
rm2003-0024	Backdrop	Backdrop/Temple2.png	Backdrop/神殿.png	Backdrop/神殿.png
rm2003-0025	Backdrop	Backdrop/Sky.png	Backdrop/空.png	Backdrop/天空.png
rm2003-0026	Backdrop	Backdrop/Ship.png	Backdrop/船上.png	Backdrop/船上.png
rm2003-0027	Backdrop	Backdrop/Grassland.png	Backdrop/草原.png	Backdrop/草原.png
rm2003-0028	Backdrop	Backdrop/Wasteland.png	Backdrop/荒地.png	Backdrop/荒地.png
rm2003-0029	Backdrop	Backdrop/Town.png	Backdrop/街中.png	Backdrop/街道.png
rm2003-0030	Backdrop	Backdrop/Road.png	Backdrop/路上.png	Backdrop/道路.png
rm2003-0031	Backdrop	Backdrop/Ruins2.png	Backdrop/遺跡.png	Backdrop/遺跡.png
rm2003-0032	Backdrop	Backdrop/Bathhouse.png	Backdrop/銭湯.png	Backdrop/澡堂.png
rm2003-0033	Backdrop	Backdrop/Arena.png	Backdrop/闘技場.png	Backdrop/競技場.png
rm2003-0034	Backdrop	Backdrop/Snow Field.png	Backdrop/雪原.png	Backdrop/雪原.png
rm2003-0035	Battle	Battle/2003 Other1.png	Battle/2003その他1.png	Battle/2003其他1.png
rm2003-0036	Battle	Battle/2003 Other2.png	Battle/2003その他2.png	Battle/2003其他2.png
rm2003-0037	Battle	Battle/2003 Barrier.png	Battle/2003バリア.png	Battle/2003護罩.png
rm2003-0038	Battle	Battle/2003 Breath.png	Battle/2003ブレス.png	Battle/2003氣息.png
rm2003-0039	Battle	Battle/2003 Light Pillar.png	Battle/2003光柱.png	Battle/2003光柱.png
rm2003-0040	Battle	Battle/2003 Cold.png	Battle/2003冷気.png	Battle/2003冰.png
rm2003-0041	Battle	Battle/2003 Sword.png	Battle/2003剣.png	Battle/2003劍.png
rm2003-0042	Battle	Battle/2003 Absorb.png	Battle/2003吸収.png	Battle/2003吸收.png
rm2003-0043	Battle	Battle/2003 Recovery.png	Battle/2003回復.png	Battle/2003回復.png
rm2003-0044	Battle	Battle/2003 Earth.png	Battle/2003大地.png	Battle/2003大地.png
rm2003-0045	Battle	Battle/2003 Bow.png	Battle/2003弓.png	Battle/2003弓.png
rm2003-0046	Battle	Battle/2003 Blow.png	Battle/2003打撃.png	Battle/2003打擊.png
rm2003-0047	Battle	Battle/2003 Axe.png	Battle/2003斧.png	Battle/2003斧.png
rm2003-0048	Battle	Battle/2003 Dark.png	Battle/2003暗黒.png	Battle/2003暗黑.png
rm2003-0049	Battle	Battle/2003 Spear.png	Battle/2003槍.png	Battle/2003槍.png
rm2003-0050	Battle	Battle/2003 Water.png	Battle/2003水.png	Battle/2003水.png
rm2003-0051	Battle	Battle/2003 Cure.png	Battle/2003治療.png	Battle/2003治療.png
rm2003-0052	Battle	Battle/2003 Fire.png	Battle/2003炎.png	Battle/2003炎.png
rm2003-0053	Battle	Battle/2003 Explosion.png	Battle/2003爆発.png	Battle/2003爆發.png
rm2003-0054	Battle	Battle/2003 Claw.png	Battle/2003爪.png	Battle/2003爪.png
rm2003-0055	Battle	Battle/2003 Holy.png	Battle/2003神聖.png	Battle/2003神聖.png
rm2003-0056	Battle	Battle/2003 Revive.png	Battle/2003蘇生.png	Battle/2003復活.png
rm2003-0057	Battle	Battle/2003 Thunder.png	Battle/2003雷.png	Battle/2003雷.png
rm2003-0058	Battle	Battle/2003 Whip.png	Battle/2003鞭.png	Battle/2003鞭.png
rm2003-0059	Battle	Battle/2003 Wind.png	Battle/2003風.png	Battle/2003風.png
rm2003-0060	Battle	Battle/2003 Paralysis.png	Battle/2003麻痺.png	Battle/2003麻痺.png
rm2003-0061	Battle	Battle/Other.png	Battle/その他.png	Battle/其他.png
rm2003-0062	Battle	Battle/Barrier.png	Battle/バリア.png	Battle/護罩.png
rm2003-0063	Battle	Battle/Breath.png	Battle/ブレス.png	Battle/氣息.png
rm2003-0064	Battle	Battle/Buff.png	Battle/上昇.png	Battle/上昇.png
rm2003-0065	Battle	Battle/Debuff.png	Battle/下降.png	Battle/下降.png
rm2003-0066	Battle	Battle/Ice.png	Battle/冷気.png	Battle/冰.png
rm2003-0067	Battle	Battle/Sword1.png	Battle/剣1.png	Battle/劍1.png
rm2003-0068	Battle	Battle/Sword2.png	Battle/剣2.png	Battle/劍2.png
rm2003-0069	Battle	Battle/Bite.png	Battle/吸収.png	Battle/吸收.png
rm2003-0070	Battle	Battle/Recovery.png	Battle/回復.png	Battle/回復.png
rm2003-0071	Battle	Battle/Earth.png	Battle/大地.png	Battle/大地.png
rm2003-0072	Battle	Battle/Blow.png	Battle/打撃.png	Battle/打擊.png
rm2003-0073	Battle	Battle/Axe.png	Battle/斧.png	Battle/斧.png
rm2003-0074	Battle	Battle/Dark.png	Battle/暗黒.png	Battle/暗黑.png
rm2003-0075	Battle	Battle/Spear.png	Battle/槍.png	Battle/槍.png
rm2003-0076	Battle	Battle/Water.png	Battle/水.png	Battle/水.png
rm2003-0077	Battle	Battle/Treatment.png	Battle/治療.png	Battle/治療.png
rm2003-0078	Battle	Battle/Fire1.png	Battle/炎1.png	Battle/炎1.png
rm2003-0079	Battle	Battle/Fire2.png	Battle/炎2.png	Battle/炎2.png
rm2003-0080	Battle	Battle/Explosion.png	Battle/爆発.png	Battle/爆發.png
rm2003-0081	Battle	Battle/Claw.png	Battle/爪.png	Battle/爪.png
rm2003-0082	Battle	Battle/Arrow.png	Battle/矢.png	Battle/箭.png
rm2003-0083	Battle	Battle/Holy.png	Battle/神聖.png	Battle/神聖.png
rm2003-0084	Battle	Battle/Ressurection.png	Battle/蘇生.png	Battle/復活.png
rm2003-0085	Battle	Battle/Thunder.png	Battle/雷.png	Battle/雷.png
